symbol,Name,MarketCap,IPOyear,Sector,Industry,,,,,
ALGM,"Allegro MicroSystems, Inc.",$4.54B,2020,Technology,Semiconductors,,,,,
ALNA,"Allena Pharmaceuticals, Inc.",$51.69M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
ALE,"Allete, Inc.",$2.92B,n/a,Public Utilities,Power Generation,,,,,
ADS,Alliance Data Systems Corporation,$3.49B,2001,Miscellaneous,Business Services,,,,,
AFB,Alliance National Municipal Income Fund Inc,$404.15M,2002,n/a,n/a,,,,,
ARLP,"Alliance Resource Partners, L.P.",$572.38M,1999,Energy,Coal Mining,,,,,
AWF,Alliance World Dollar Government Fund II,$975.26M,1993,n/a,n/a,,,,,
AB,AllianceBernstein Holding L.P.,$3.07B,n/a,Finance,Investment Managers,,,,,
LNT,Alliant Energy Corporation,$13.14B,n/a,Public Utilities,Power Generation,,,,,
AIO,AllianzGI Artificial Intelligence & Tech Opp Fd,$823.41M,2019,n/a,n/a,,,,,
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,$180.39M,2017,n/a,n/a,,,,,
NCV,AllianzGI Convertible & Income Fund,$487.11M,2003,n/a,n/a,,,,,
NCV^A,AllianzGI Convertible & Income Fund,n/a,n/a,n/a,n/a,,,,,
NCZ,AllianzGI Convertible & Income Fund II,$366.12M,2003,n/a,n/a,,,,,
NCZ^A,AllianzGI Convertible & Income Fund II,n/a,n/a,n/a,n/a,,,,,
ACV,AllianzGI Diversified Income & Convertible Fund,$310.31M,2015,n/a,n/a,,,,,
NFJ,"AllianzGI Dividend, Interest & Premium Strategy Fu",$1.23B,2005,Finance,Finance: Consumer Services,,,,,
NIE,AllianzGI Equity & Convertible Income Fund,$746.48M,2007,n/a,n/a,,,,,
AESE,"Allied Esports Entertainment, Inc.",$36.16M,2017,Consumer Services,Services-Misc. Amusement & Recreation,,,,,
AHPI,"Allied Healthcare Products, Inc.",$20.35M,1992,Health Care,Industrial Specialties,,,,,
AMOT,"Allied Motion Technologies, Inc.",$395.87M,n/a,Capital Goods,Electrical Products,,,,,
ALSN,"Allison Transmission Holdings, Inc.",$4.63B,2012,Capital Goods,Auto Parts:O.E.M.,,,,,
ALLO,"Allogene Therapeutics, Inc.",$4.36B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
ALLT,Allot Ltd.,$343.67M,2006,Technology,Computer Communications Equipment,,,,,
ALVR,"AlloVir, Inc.",$2.48B,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
MDRX,"Allscripts Healthcare Solutions, Inc.",$2.16B,n/a,Technology,EDP Services,,,,,
ALL,Allstate Corporation (The),$31.12B,n/a,Finance,Property-Casualty Insurers,,,,,
ALL^B,Allstate Corporation (The),n/a,n/a,n/a,n/a,,,,,
ALL^G,Allstate Corporation (The),n/a,n/a,n/a,n/a,,,,,
